Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,,,Predicted Price
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,22:35,8h 30m,1 stop,No info,,,1.14E+04
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,09:20 16 May,14h 25m,1 stop,No info,,,1.05E+04
IndiGo,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,01:30 16 Jun,16h 15m,1 stop,No info,,,6.71E+03
SpiceJet,12/06/2019,Delhi,Cochin,DEL ? MAA ? COK,15:45,22:05,6h 20m,1 stop,No info,,,6.63E+03
Air India,24/06/2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,,,5.53E+03
Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,00:45 02 Mar,17h 45m,1 stop,No info,,,2.52E+04
Air India,12/05/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,01:20 13 May,15h 55m,2 stops,No info,,,1.22E+04
Air Asia,6/06/2019,Kolkata,Banglore,CCU ? BLR,22:50,01:20 07 Jun,2h 30m,non-stop,No info,,,4.08E+03
Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,21:50,9h 50m,2 stops,No info,,,9.64E+03
IndiGo,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,,,6.21E+03
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,No info,,,7.30E+03
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,04:25 13 Jun,13h 50m,2 stops,No info,,,1.18E+04
IndiGo,9/03/2019,Delhi,Cochin,DEL ? COK,14:30,17:35,3h 5m,non-stop,No info,,,7.16E+03
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,21:00,13h 30m,1 stop,No info,,,7.81E+03
Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,12:00,5h 30m,1 stop,No info,,,1.01E+04
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,09:10,01:35 28 Mar,16h 25m,1 stop,No info,,,8.17E+03
IndiGo,6/06/2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,4h 55m,1 stop,No info,,,6.77E+03
IndiGo,12/06/2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,,,4.00E+03
IndiGo,09/03/2019,Banglore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,non-stop,No info,,,6.99E+03
Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,13:20,7h 20m,1 stop,No info,,,1.59E+04
Jet Airways,12/04/2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,In-flight meal not included,,,6.78E+03
Air India,6/06/2019,Banglore,Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,,,7.12E+03
IndiGo,21/03/2019,Chennai,Kolkata,MAA ? CCU,22:05,00:25 22 Mar,2h 20m,non-stop,No info,,,5.28E+03
Air India,27/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,07:40 28 May,19h 40m,2 stops,No info,,,9.76E+03
IndiGo,9/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,04:55,21:20,16h 25m,2 stops,No info,,,9.79E+03
GoAir,27/06/2019,Banglore,Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,,,3.53E+03
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 13 Jun,22h 55m,2 stops,In-flight meal not included,,,1.24E+04
Air India,21/05/2019,Mumbai,Hyderabad,BOM ? HYD,06:20,07:40,1h 20m,non-stop,No info,,,3.12E+03
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,,,8.64E+03
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,23:00,8h 55m,1 stop,In-flight meal not included,,,8.63E+03
Air India,9/06/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,,,1.09E+04
Vistara,3/06/2019,Banglore,Delhi,BLR ? DEL,21:00,23:50,2h 50m,non-stop,No info,,,4.70E+03
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,19:10,9h 35m,1 stop,No info,,,1.32E+04
Air Asia,1/05/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,,,4.42E+03
Multiple carriers,9/03/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,22:20,12h 35m,1 stop,No info,,,1.08E+04
SpiceJet,12/06/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 13 Jun,2h 55m,non-stop,No info,,,4.41E+03
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,12:00 25 May,21h 55m,1 stop,No info,,,1.22E+04
Vistara,21/06/2019,Banglore,Delhi,BLR ? DEL,07:00,09:40,2h 40m,non-stop,No info,,,4.70E+03
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,19:15,7h 45m,1 stop,No info,,,1.37E+04
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,15:15,01:30 19 May,10h 15m,1 stop,No info,,,7.97E+03
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,18:15 16 May,21h 5m,1 stop,In-flight meal not included,,,1.12E+04
GoAir,24/05/2019,Delhi,Cochin,DEL ? AMD ? COK,07:25,13:35,6h 10m,1 stop,No info,,,5.71E+03
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? MAA ? BOM ? COK,16:10,18:50 22 Mar,26h 40m,2 stops,In-flight meal not included,,,1.02E+04
IndiGo,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,17:10,01:35 04 Mar,8h 25m,1 stop,No info,,,1.48E+04
Air India,6/03/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,05:55,19:15 07 Mar,37h 20m,2 stops,No info,,,1.39E+04
Air Asia,6/05/2019,Kolkata,Banglore,CCU ? BBI ? BLR,06:50,10:30,3h 40m,1 stop,No info,,,5.81E+03
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,,,1.81E+04
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,18:00,8h 25m,1 stop,No info,,,1.39E+04
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,21:50,19:00 19 May,21h 10m,1 stop,No info,,,1.40E+04
Jet Airways,24/04/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,,,5.89E+03
GoAir,15/04/2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,,,4.52E+03
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,04:25 29 Jun,29h 20m,2 stops,No info,,,1.35E+04
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 13 Jun,22h 55m,2 stops,In-flight meal not included,,,1.24E+04
IndiGo,12/03/2019,Chennai,Kolkata,MAA ? CCU,05:15,07:35,2h 20m,non-stop,No info,,,6.32E+03
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,10:55 19 May,14h 30m,1 stop,No info,,,1.39E+04
Air India,15/03/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,,,3.04E+03
IndiGo,27/05/2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,4h 55m,1 stop,No info,,,6.93E+03
IndiGo,1/06/2019,Banglore,Delhi,BLR ? DEL,18:25,21:20,2h 55m,non-stop,No info,,,4.81E+03
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 22 Mar,9h 10m,1 stop,In-flight meal not included,,,7.67E+03
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,5h 30m,1 stop,No info,,,1.30E+04
Vistara,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,23:25 10 May,27h 5m,1 stop,No info,,,8.31E+03
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,19:50,13h 20m,1 stop,In-flight meal not included,,,1.43E+04
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:00,8h 25m,1 stop,No info,,,1.09E+04
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,19:40 25 Mar,22h 30m,1 stop,No info,,,1.05E+04
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:50,11:25 07 Mar,12h 35m,1 stop,No info,,,1.72E+04
SpiceJet,12/06/2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,,,3.60E+03
Multiple carriers,1/05/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,19:15,6h 25m,1 stop,No info,,,1.24E+04
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,No info,,,1.26E+04
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,In-flight meal not included,,,1.23E+04
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,22:35,8h 30m,1 stop,In-flight meal not included,,,1.29E+04
IndiGo,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,05:05,18:10,13h 5m,1 stop,No info,,,6.90E+03
Vistara Premium economy,03/03/2019,Banglore,New Delhi,BLR ? DEL,09:50,12:35,2h 45m,non-stop,No info,,,8.25E+03
IndiGo,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,21:00,11h 45m,1 stop,No info,,,7.38E+03
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,In-flight meal not included,,,1.01E+04
Jet Airways,9/03/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,,,7.25E+03
Air Asia,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,22:30,10:40 25 Mar,12h 10m,1 stop,No info,,,8.08E+03
IndiGo,9/06/2019,Kolkata,Banglore,CCU ? HYD ? BLR,04:50,09:50,5h,1 stop,No info,,,4.67E+03
Air India,6/05/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,15:05 07 May,29h 40m,2 stops,No info,,,1.18E+04
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,21:00,10h 40m,1 stop,No info,,,7.33E+03
IndiGo,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,,,6.56E+03
Air India,12/05/2019,Kolkata,Banglore,CCU ? BOM ? AMD ? BLR,09:25,05:25 13 May,20h,2 stops,No info,,,1.47E+04
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,18:20,04:25 13 Jun,10h 5m,2 stops,No info,,,1.39E+04
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,17:40,00:55 22 May,7h 15m,1 stop,No info,,,9.94E+03
IndiGo,27/03/2019,Delhi,Cochin,DEL ? HYD ? COK,08:35,22:20,13h 45m,1 stop,No info,,,7.13E+03
SpiceJet,3/06/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,,,3.89E+03
IndiGo,27/06/2019,Banglore,Delhi,BLR ? DEL,10:10,13:00,2h 50m,non-stop,No info,,,3.93E+03
Air India,24/03/2019,Banglore,New Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,,,4.21E+03
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,05:25,18:50,13h 25m,2 stops,No info,,,1.05E+04
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,12:00 13 Jun,27h 35m,1 stop,In-flight meal not included,,,9.95E+03
Jet Airways,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,04:25 10 Mar,12h 25m,1 stop,In-flight meal not included,,,1.61E+04
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,12:35 22 May,21h 35m,1 stop,In-flight meal not included,,,1.29E+04
Air India,12/06/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,13:45 13 Jun,28h 20m,2 stops,No info,,,1.17E+04
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:55 25 May,17h 55m,1 stop,No info,,,1.37E+04
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,18:50,8h 50m,1 stop,No info,,,1.18E+04
Air India,15/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,,,3.15E+03
Air India,21/03/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15 22 Mar,26h,2 stops,No info,,,8.46E+03
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,,,1.25E+04
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,04:40 07 Jun,14h 35m,1 stop,In-flight meal not included,,,1.14E+04
Jet Airways,12/04/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,No info,,,6.43E+03
SpiceJet,18/05/2019,Kolkata,Banglore,CCU ? BLR,22:20,00:40 19 May,2h 20m,non-stop,No check-in baggage included,,,3.95E+03
IndiGo,9/05/2019,Banglore,Delhi,BLR ? DEL,18:25,21:20,2h 55m,non-stop,No info,,,4.83E+03
Jet Airways,27/05/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,,,6.76E+03
Air India,9/03/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,07:40 10 Mar,25h 45m,2 stops,No info,,,1.48E+04
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,01:30 04 Jun,11h 30m,1 stop,No info,,,1.34E+04
SpiceJet,3/03/2019,Chennai,Kolkata,MAA ? CCU,09:30,12:05,2h 35m,non-stop,No info,,,7.39E+03
Jet Airways,15/06/2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,In-flight meal not included,,,7.24E+03
Air India,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:00,07:40 19 May,11h 40m,1 stop,No info,,,8.44E+03
GoAir,24/03/2019,Banglore,New Delhi,BLR ? DEL,20:55,23:50,2h 55m,non-stop,No info,,,7.13E+03
SpiceJet,3/03/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,,,8.26E+03
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,,,1.09E+04
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,21:00,9h 20m,1 stop,No info,,,7.11E+03
Air India,12/05/2019,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,,,5.71E+03
SpiceJet,1/04/2019,Kolkata,Banglore,CCU ? IXB ? BLR,11:15,18:30,7h 15m,1 stop,No info,,,6.96E+03
Vistara,24/06/2019,Banglore,Delhi,BLR ? DEL,11:30,14:20,2h 50m,non-stop,No info,,,4.70E+03
Air India,27/05/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,16:55,19:15 28 May,26h 20m,2 stops,No info,,,1.33E+04
IndiGo,12/06/2019,Kolkata,Banglore,CCU ? HYD ? BLR,15:15,20:05,4h 50m,1 stop,No info,,,5.17E+03
IndiGo,27/06/2019,Kolkata,Banglore,CCU ? BLR,15:30,18:05,2h 35m,non-stop,No info,,,4.81E+03
IndiGo,24/06/2019,Banglore,Delhi,BLR ? DEL,20:00,22:50,2h 50m,non-stop,No info,,,4.81E+03
IndiGo,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,17:10,01:35 10 Mar,8h 25m,1 stop,No info,,,1.25E+04
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:45 25 Mar,9h 50m,1 stop,In-flight meal not included,,,1.37E+04
Air India,1/06/2019,Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,07:40 02 Jun,18h 20m,2 stops,No info,,,1.21E+04
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,18:25,11h 25m,1 stop,No info,,,1.20E+04
Air India,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,08:55 02 May,12h 25m,1 stop,No info,,,1.01E+04
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,12:35,8h 45m,1 stop,No info,,,1.09E+04
IndiGo,12/06/2019,Chennai,Kolkata,MAA ? CCU,19:35,21:55,2h 20m,non-stop,No info,,,3.67E+03
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,No info,,,1.24E+04
Vistara,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,22:40 02 May,26h 20m,1 stop,No info,,,8.34E+03
SpiceJet,18/04/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No info,,,4.27E+03
Air Asia,6/05/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,15:10,23:30,8h 20m,2 stops,No info,,,5.77E+03
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,04:25 25 Jun,5h 35m,1 stop,In-flight meal not included,,,1.48E+04
Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,09:55,21:00,11h 5m,1 stop,No info,,,1.55E+04
Air India,9/06/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:05,09:25 10 Jun,20h 20m,2 stops,No info,,,1.06E+04
IndiGo,21/03/2019,Chennai,Kolkata,MAA ? CCU,14:40,17:05,2h 25m,non-stop,No info,,,4.19E+03
Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? GWL ? IDR ? BOM ? COK,11:35,01:35 07 Mar,14h,3 stops,No info,,,2.16E+04
Vistara,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,10:45 25 May,27h 35m,1 stop,No info,,,9.47E+03
Air India,12/03/2019,Banglore,New Delhi,BLR ? BOM ? IDR ? GWL ? DEL,08:50,18:05 13 Mar,33h 15m,3 stops,No info,,,1.33E+04
SpiceJet,3/04/2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,,,3.84E+03
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,21:00,13h 30m,1 stop,No info,,,8.32E+03
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BDQ ? DEL,05:50,12:20,6h 30m,1 stop,No info,,,2.06E+04
GoAir,15/05/2019,Banglore,Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,,,3.80E+03
Jet Airways,3/05/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,,,6.48E+03
Jet Airways,27/05/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,,,5.34E+03
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,04:25 29 May,29h 20m,2 stops,No info,,,1.57E+04
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,04:25 22 Mar,21h 20m,1 stop,In-flight meal not included,,,7.94E+03
Air India,27/06/2019,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,,,7.00E+03
SpiceJet,21/04/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 22 Apr,2h 55m,non-stop,No check-in baggage included,,,4.49E+03
Air India,12/06/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,10:00,13:45 13 Jun,27h 45m,2 stops,No info,,,1.30E+04
Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,20:20,13h 10m,1 stop,No info,,,8.90E+03
IndiGo,9/06/2019,Banglore,Delhi,BLR ? DEL,04:00,06:50,2h 50m,non-stop,No info,,,4.07E+03
SpiceJet,12/05/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,,,3.89E+03
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:35 22 Mar,8h 5m,1 stop,No info,,,7.30E+03
IndiGo,1/05/2019,Kolkata,Banglore,CCU ? BLR,21:25,00:05 02 May,2h 40m,non-stop,No info,,,4.79E+03
IndiGo,9/05/2019,Banglore,Delhi,BLR ? DEL,00:30,03:25,2h 55m,non-stop,No info,,,4.05E+03
Air India,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,07:55 13 May,22h 30m,1 stop,No info,,,8.44E+03
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,19:00 02 Jun,24h 45m,1 stop,In-flight meal not included,,,1.37E+04
Multiple carriers,6/05/2019,Delhi,Cochin,DEL ? HYD ? COK,14:55,22:30,7h 35m,1 stop,No info,,,9.31E+03
Jet Airways,6/06/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,,,7.82E+03
Air India,12/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 13 Jun,21h 15m,2 stops,No info,,,1.02E+04
IndiGo,9/05/2019,Banglore,Delhi,BLR ? DEL,22:10,01:00 10 May,2h 50m,non-stop,No info,,,3.82E+03
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,23:00,16h,1 stop,In-flight meal not included,,,7.80E+03
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,01:30 28 Jun,12h 30m,1 stop,No info,,,1.23E+04
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 28 May,19h 55m,2 stops,No info,,,1.51E+04
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,19:50,13h 20m,1 stop,In-flight meal not included,,,1.43E+04
Air India,12/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,20:00,23:45 13 Mar,27h 45m,1 stop,No info,,,1.05E+04
IndiGo,6/05/2019,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,non-stop,No info,,,3.93E+03
Air India,27/03/2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,,,2.31E+04
Air India,24/06/2019,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,,,3.38E+03
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,20:00,22:55,2h 55m,non-stop,No info,,,7.00E+03
Air India,6/03/2019,Mumbai,Hyderabad,BOM ? JDH ? DEL ? HYD,09:40,09:10 07 Mar,23h 30m,2 stops,No info,,,1.30E+04
Air India,3/03/2019,Delhi,Cochin,DEL ? BLR ? COK,20:30,08:15 04 Mar,11h 45m,1 stop,No info,,,1.27E+04
Air India,12/06/2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,,,6.92E+03
SpiceJet,27/04/2019,Kolkata,Banglore,CCU ? BLR,06:55,09:30,2h 35m,non-stop,No info,,,3.88E+03
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:45,01:30 19 May,7h 45m,1 stop,No info,,,8.18E+03
Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,No info,,,1.53E+04
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,19:00,9h 45m,1 stop,No info,,,1.01E+04
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,,,1.01E+04
SpiceJet,1/06/2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No info,,,3.56E+03
Vistara,21/03/2019,Banglore,New Delhi,BLR ? AMD ? DEL,06:40,12:35,5h 55m,1 stop,No info,,,7.23E+03
Air India,09/03/2019,Banglore,New Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,,,6.93E+03
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,08:15 13 May,11h 5m,1 stop,No info,,,1.02E+04
Air Asia,3/06/2019,Kolkata,Banglore,CCU ? BLR,19:55,22:25,2h 30m,non-stop,No info,,,4.89E+03
IndiGo,09/03/2019,Banglore,New Delhi,BLR ? DEL,00:40,03:25,2h 45m,non-stop,No info,,,5.05E+03
Air India,3/06/2019,Delhi,Cochin,DEL ? BLR ? COK,17:40,23:00,5h 20m,1 stop,No info,,,7.63E+03
Air India,21/05/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,06:50,07:40 22 May,24h 50m,2 stops,No info,,,1.36E+04
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40 07 May,9h 45m,1 stop,In-flight meal not included,,,1.30E+04
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,04:25 04 Jun,15h 25m,1 stop,No info,,,1.10E+04
SpiceJet,15/05/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,,,5.46E+03
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 10 May,22h 55m,2 stops,No info,,,1.36E+04
IndiGo,6/04/2019,Delhi,Cochin,DEL ? COK,05:35,08:50,3h 15m,non-stop,No info,,,4.96E+03
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:55,22:35,5h 40m,1 stop,No info,,,1.14E+04
SpiceJet,1/06/2019,Chennai,Kolkata,MAA ? CCU,08:20,10:35,2h 15m,non-stop,No info,,,3.58E+03
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,non-stop,No info,,,7.60E+03
Air India,21/03/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,19:15,7h 15m,2 stops,No info,,,1.00E+04
Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:45,01:30 10 Jun,7h 45m,1 stop,No info,,,7.95E+03
Air India,24/03/2019,Banglore,New Delhi,BLR ? DEL,21:10,23:55,2h 45m,non-stop,No info,,,6.84E+03
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,10:05 02 May,17h 35m,1 stop,No info,,,9.36E+03
IndiGo,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,21:00,5h,1 stop,No info,,,6.27E+03
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,23:35,15h 10m,1 stop,In-flight meal not included,,,1.33E+04
